;Unnamed: 0;municipio;codigo;area_territorial;populacao_estimada;densidade_demografica;escolarizacao;idhm;mortalidade_infantil;pib_per_capita;uf;receitas_realizadas;despesas_empenhadas;saldo_receitas_despesas;cidade;estado;longitude;latitude;altitude;unidades;unidades_urbanas;unidades_rurais;area_plantada;producao_graos;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;tipo_rural_urbano;GVA_agropecuaria;GVA_industria;GVA_Servicos;GVA_publico;GDP;GDP_populacao;GDP_per_capita;estabelecimentos;carros;motos
0;0;Açailândia;2100055;5808,304;113121;17,92;97,7;0,672;;19780,01;MA;276417,0922;247664,1374;28752,9548;Açailândia;MA;-47.50666459;-4.951377;229.05;27523;20612;6911;27137;89420;0.643;0.785;0.602;Urbano;159853.84;488799.22;779.84;364811.85;1999546.31;110543;18088.4;1334;9935;24208
1;1;Afonso Cunha;2100105;371,338;6578;15,9;96,6;0,529;;6934,67;MA;19340,67763;18841,19671;499,48092;Afonso Cunha;MA;-43.320869;-4.135015477;67.2;1305;734;571;6388;17098;0.471;0.725;0.434;Rural Adjacente;2461.41;1600;8.46;21500.22;35459.24;6421;5522.39;14;61;519
2;2;Água Doce do Maranhão;2100154;443,267;12652;26,13;98,3;0,5;;5895,85;MA;25836,80798;25102,74988;734,0581;Água Doce do Maranhão;MA;-42.1155512;-2.840278279;10.44;2730;763;1967;2907;4050;0.494;0.697;0.363;Rural Adjacente;8.1;3555.39;19612.05;39464.68;73287.14;12360;5929.38;57;61;495
3;3;Alcântara;2100204;1168,246;22112;14,7;96,8;0,573;;5387,8;MA;40693,60286;42948,53135;-2254,92849;Alcântara;MA;-44.41701254;-2.403276525;29.72;6084;1683;4401;1671;3831;0.525;0.753;0.475;Rural Adjacente;14464.15;7861.43;29391.33;61419.05;117494.58;21667;5422.74;124;327;1282
4;4;Aldeias Altas;2100303;1942,121;26757;12,33;94,9;0,513;;6614,18;MA;60698,52411;57292,67271;3405,8514;Aldeias Altas;MA;-43.46873485;-4.630779495;80.49;5795;3388;2407;9756;78843;0.5;0.72;0.374;Intermediário Adjacente;31.99;9704.76;38558.93;81.62;169251.79;26115;6481.02;91;327;2271
5;5;Altamira do Maranhão;2100402;524,374;8189;15,34;91,5;0,549;;6999,63;MA;28548,42848;24977,84736;3570,58112;Altamira do Maranhão;MA;-45.46467583;-4.162269267;55.19;2632;1118;1515;2045;4230;0.486;0.719;0.473;Rural Adjacente;16154.12;2119.45;11951.13;30369.08;62194.01;10210;6091.48;22;196;1008
6;6;Alto Alegre do Maranhão;2100436;383,308;27858;64,18;95,5;0,554;;8208,16;MA;48180,1222;47273,23963;906,88257;Alto Alegre do Maranhão;MA;-44.44824749;-4.207227;56.97;5857;4621;1236;568;876;0.516;0.744;0.444;Urbano;8154.95;16456.56;102561.96;70896.68;217023.7;26619;8152.96;99;642;3051
7;7;Alto Alegre do Pindaré;2100477;1875,901;31943;16,07;96,7;0,558;;5825,81;MA;70794,78433;68523,70127;2271,08306;Alto Alegre do Pindaré;MA;-45.84207962;-3.665170374;17.6;7282;2408;4874;3347;7010;0.465;0.774;0.483;Rural Adjacente;23365.08;7655.26;42381.51;92307.2;175650.06;31303;5611.29;46;420;2614
8;8;Alto Parnaíba;2100501;11132,176;11212;0,97;95,1;0,633;;26172,09;MA;34241,63116;32154,05746;2087,5737;Alto Parnaíba;MA;-45.92734401;-9.108365932;275.7;2657;1769;888;74559;172328;0.683;0.785;0.474;Rural Remoto;83008.58;10934;47221.88;36843.57;184857.72;10979;16837.39;112;141;1620
9;9;Amapá do Maranhão;2100550;502,402;7005;12,8;98;0,52;;7130,83;MA;17306,81202;15586,60279;1720,20923;Amapá do Maranhão;MA;-46.0091799;-1.680921495;59.44;1508;1143;365;1462;4356;0.503;0.688;0.406;Rural Adjacente;8663.5;1704.52;15331.58;20463.43;48651.86;6844;7108.69;26;124;529
10;10;Amarante do Maranhão;2100600;7438,217;41729;5,1;95,1;0,555;;6666,52;MA;74474,97505;67136,5104;7338,46465;Amarante do Maranhão;MA;-46.75063755;-5.557662;250.76;8326;3852;4473;3885;2674;0.541;0.716;0.441;Rural Adjacente;77971.54;9463.62;70.2;118.11;285206.23;40756;6997.9;129;553;6527
11;11;Anajatuba;2100709;942,568;26988;25,01;96,1;0,581;;6486,91;MA;53011,45698;66751,77313;-13740,31615;Anajatuba;MA;-44.62067003;-3.257554842;6.91;6503;1866;4637;1717;2899;0.523;0.762;0.492;Rural Adjacente;37668.53;7006.65;41726.89;81.36;173717.07;27125;6404.32;80;619;2640
12;12;Anapurus;2100808;608,903;15894;22,91;98;0,581;;8681,76;MA;51064,32954;38190,48234;12873,8472;Anapurus;MA;-43.10579251;-3.667034662;94.5;3333;1747;1586;11469;35746;0.511;0.764;0.502;Rural Adjacente;17756.79;13201.09;44.42;47777.75;133576.75;15499;8618.41;78;425;1253
13;13;Apicum-Açu;2100832;340,288;17413;42,36;96,8;0,568;;5678,46;MA;37608,42649;36703,29242;905,13407;Apicum-Açu;MA;-45.07665207;-1.530591578;10.58;3401;2085;1316;566;1277;0.529;0.718;0.483;Rural Remoto;15179.35;4028.76;24629.51;56253.1;103720.18;18169;5708.63;77;153;673
14;14;Araguanã;2100873;805,194;15551;17,35;96,3;0,533;;5084,77;MA;32545,1741;32295,2522;249,9219;Araguanã;MA;-45.66879448;-2.949125623;19.12;2975;1187;1788;1589;2452;0.483;0.706;0.444;Rural Adjacente;12422.3;2743.85;17034.69;42391.3;77288.6;15182;5090.81;38;240;969
15;15;Araioses;2100907;1786,345;46771;23,84;96,8;0,521;;5858,01;MA;69273,85442;71709,47393;-2435,61951;Araioses;MA;-41.89913945;-2.889255846;0.1;10275;3011;7264;6421;10022;0.497;0.709;0.402;Rural Adjacente;41397.28;9846.84;69783.12;128254.44;259.12;45680;5672.48;158;134;1503
16;16;Arame;2100956;2976,039;32764;10,54;89,8;0,512;;6609,85;MA;53492,88934;58272,61151;-4779,72217;Arame;MA;-46.01363628;-4.886081505;128.64;6615;2926;3689;12369;10104;0.525;0.701;0.365;Rural Remoto;48301.72;8816.95;63630.1;91853.73;222309.14;32083;6929.19;186;336;4550
17;17;Arari;2101004;1100,275;29932;25,89;99;0,626;;7838,57;MA;61500,31966;58960,47988;2539,83978;Arari;MA;-44.77883465;-3.45917097;7.8;6948;4340;2608;3121;10845;0.587;0.764;0.546;Intermediário Adjacente;52898.74;10810.35;71728.14;88.03;234791.03;29297;8014.17;213;994;5060
18;18;Axixá;2101103;159,491;12183;56,15;98,5;0,641;;5761,63;MA;26029,93497;22297,41666;3732,51831;Axixá;MA;-44.05458581;-2.837796837;17.67;2548;1061;1487;705;1610;0.535;0.776;0.634;Rural Adjacente;12327.94;2764.26;16946.77;35747.41;69979.01;11915;5873.19;27;272;1641
19;19;Bacabal;2101202;1683,075;104790;59,43;97,2;0,651;;11010,12;MA;197416,4087;186109,2143;11307,19437;Bacabal;MA;-44.78155596;-4.23152463;25.18;26271;20685;5586;4920;12653;0.619;0.753;0.591;Urbano;61274.25;77.41;606280.19;270291.3;1127971.67;103020;10949.06;1160;6831;28882
20;20;Bacabeira;2101251;542,962;17252;24,25;98,4;0,629;;19928,28;MA;52890,27926;45827,2289;7063,05036;Bacabeira;MA;-44.31542299;-2.985824779;37.5;3664;825;2839;603;1082;0.558;0.768;0.58;Rural Adjacente;12768.65;180744.17;67380.3;59.85;344.31;16812;20480.16;107;981;1404
21;21;Bacuri;2101301;881,431;18654;21,07;97,8;0,578;;5554,17;MA;34781,15641;30545,81865;4235,33776;Bacuri;MA;-45.13734894;-1.724046318;23.84;4219;2248;1971;915;1549;0.54;0.737;0.484;Rural Remoto;9331.74;3.94;24124.1;55426.6;95450.85;17388;5489.47;67;196;677
22;22;Bacurituba;2101350;412,639;5670;7,85;98,8;0,537;;6312,85;MA;16573,30755;16100,25086;473,05669;Bacurituba;MA;-44.73574201;-2.710871977;4.96;1398;382;1016;441;1262;0.474;0.681;0.479;Rural Adjacente;3927.39;1593.42;7.99;18866.97;33523.03;5544;6046.72;12;27;656
23;23;Balsas;2101400;13141,757;95929;6,36;94,4;0,687;;32142,28;MA;226600,0489;221466,695;5133,35387;Balsas;MA;-46.03899267;-7.53116999;255.91;21319;18675;2644;330267;775021;0.674;0.807;0.597;Urbano;391791.91;162118.81;1281167.87;283599;2393124.92;93511;25591.91;1923;9520;33788
24;24;Barão de Grajaú;2101509;2208,324;18924;7,94;95,8;0,592;;11313,71;MA;39740,96014;40114,7004;-373,74026;Barão de Grajaú;MA;-43.0264527;-6.758955206;110.36;4735;2832;1903;2687;3087;0.578;0.743;0.484;Urbano;10381.4;36575.47;107039.19;51332.75;230663.1;18496;12470.97;188;308;2183
25;25;Barra do Corda;2101608;5190,847;88492;15,92;95,8;0,606;;7481,35;MA;137226,6542;146685,5369;-9458,88272;Barra do Corda;MA;-45.23901102;-5.5083395;152.52;21061;13794;7267;10925;9516;0.585;0.763;0.498;Urbano;43608.75;32469.59;259438.41;230572.37;601.6;86662;6941.9;700;3124;23391
26;26;Barreirinhas;2101707;3047,05;63217;17,65;96;0,57;;7357,05;MA;129536,1691;105245,1121;24291,05701;Barreirinhas;MA;-42.82780251;-2.750085949;5.04;12242;5323;6919;9660;18405;0.515;0.752;0.479;Rural Remoto;61902.39;22530.79;168529.31;171164.01;448872.79;61621;7284.41;390;673;5432
27;27;Belágua;2101731;569,428;7528;13,06;95,9;0,512;;6424,95;MA;20075,31814;21657,47125;-1582,15311;Belágua;MA;-43.51006164;-3.156772228;64.56;1277;647;630;2253;4469;0.417;0.707;0.455;Rural Adjacente;5023.3;1.89;8347.87;25214.38;41588.65;7350;5658.32;18;74;271
28;28;Bela Vista do Maranhão;2101772;147,954;11279;47,15;98,5;0,554;;7200,96;MA;30726,13127;30106,72018;619,41109;Bela Vista do Maranhão;MA;-45.24824588;-3.73773325;37.25;2984;1297;1687;707;1177;0.515;0.735;0.45;Rural Adjacente;7433.76;5093.59;21850.09;37919.99;75.25;11020;6828.18;35;526;1593
29;29;Benedito Leite;2101806;1781,734;5638;3,07;97,5;0,546;;7211,34;MA;14558,63651;13101,02152;1457,61499;Benedito Leite;MA;-44.5598568;-7.218799795;219;1424;710;714;4045;8808;0.531;0.719;0.426;Intermediário Remoto;6324.1;1886.88;9718.02;16640.66;36142.65;5524;6542.84;33;34;136
